zipcode,district 1,district 2,district 3,district 4,district 5,district 6,district 7,district 8,district 9
92014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92037,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92038,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92039,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92067,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92091,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92092,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92093,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92101,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92102,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
92103,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
92105,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
92106,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92107,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92109,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92110,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92111,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
92112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
92114,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
92115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
92116,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
92117,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
92119,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92120,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92121,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
92122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92123,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
92124,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92126,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
92127,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
92128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
92129,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
92130,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92131,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
92132,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92134,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
92137,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92138,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92139,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
92140,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92142,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
92145,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
92147,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92149,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
92150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
92152,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
92154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
92155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92159,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92160,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92163,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92166,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92169,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
92171,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92172,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
92173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
92174,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
92175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92176,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92177,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
92178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92186,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92187,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92190,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92191,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92192,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
92195,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
92196,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
92197,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
92198,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
92199,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
